username,title,subscribers,avg_views,avg_reactions,avg_comments,avg_forwards,posts_per_day,has_linked_chat,err,reach,bot_ratio,detected_category,preliminary_score,health_score
@business_nova_0082,Open Market,3650,1304,47,12,15,1.85,True,5.84,35.73,0.082,business,85,80.8
@health_bright_0083,Bright Fit,708,193,3,0,0,1.64,True,2.9,27.39,0.002,health,52,51.9
@health_neon_0084,Insider Fit,591,270,9,2,2,1.05,True,5.04,45.72,0.111,health,72,67.2
@news_quiet_0085,Smart Report,4989,1544,20,3,3,2.29,True,1.79,30.96,0.08,news,65,61.9
@tech_daily_0086,Core AI,11452,3510,112,0,21,2.91,False,5.35,30.66,0.103,tech,70,65.7
@crypto_open_0087,Open Coins,17208,5416,68,20,21,0.04,True,2.29,31.48,0.017,crypto,70,69.3
@entertainment_quiet_0088,Vivid Fun,2210,289,9,2,1,2.26,True,4.92,13.08,0.003,entertainment,60,59.9
@crypto_nova_0089,Core DeFi,3466,1204,44,13,9,0.64,True,5.1,34.76,0.05,crypto,80,77.6
@lifestyle_vivid_0090,Neon Travel,39739,5078,49,0,19,1.29,False,1.56,12.78,0.033,lifestyle,50,49.0
@politics_global_0091,Bright Debate,738,298,6,0,1,1.95,False,3.09,40.45,0.079,politics,57,54.3
@crypto_core_0092,Peak Coins,45885,4829,11,3,3,3.13,True,0.34,10.52,0.068,crypto,46.8,44.9
@education_bright_0093,Alpha Learn,1547,746,11,1,1,1.25,True,2.34,48.25,0.098,education,70,65.9
@business_urban_0094,Bright Capital,158,62,0,0,0,2.42,False,1.74,39.29,0.128,business,52,48.0
@sports_open_0095,Global Sports,3119,400,4,0,1,3.32,False,2.24,12.84,0.469,sports,45,32.3
@tech_smart_0096,Neon Dev,335,123,1,0,0,0.08,True,1.31,36.8,0.024,tech,37,36.5
@news_urban_0097,Neon Digest,824,303,9,2,3,11.7,True,5.49,36.85,0.0,news,57,57.0
@gaming_alpha_0098,Open Quest,19912,5775,98,0,28,1.2,False,3.07,29.0,0.064,gaming,60,57.7
@gaming_smart_0099,Neon Games,27632,6659,228,38,73,0.2,True,5.54,24.1,0.064,gaming,75,72.1
@entertainment_global_0100,Smart Vibes,2545,878,10,2,2,0.41,True,1.95,34.52,0.077,entertainment,55,52.5
@entertainment_global_0101,Global Laughs,7606,2282,51,0,14,0.0,False,3.42,30.01,0.016,entertainment,47,46.6
@education_vivid_0102,Smart Lessons,7826,1056,1,0,0,2.85,False,0.25,13.5,0.095,education,37.0,34.9
@lifestyle_bright_0103,Neon Travel,20395,4773,100,0,34,2.88,False,3.32,23.4,0.005,lifestyle,60,59.8
@business_peak_0104,Quiet Money,10583,3431,53,0,17,4.08,False,2.21,32.42,0.044,business,60,58.4
@entertainment_neon_0105,Global Vibes,775,147,4,1,0,0.2,True,4.48,18.99,0.026,entertainment,47,46.3
@business_smart_0106,Bright Capital,56376,7071,214,0,75,2.01,False,5.4,12.54,0.029,business,62,60.9
@gaming_prime_0107,Urban Quest,39291,11804,387,0,133,4.29,False,5.06,30.04,0.073,gaming,65,62.2
@tech_insider_0108,Neon Tech,14953,2131,25,7,4,3.16,True,1.7,14.26,0.067,tech,60,57.6
@lifestyle_nova_0109,Peak Style,1203,438,10,0,3,2.46,False,3.67,36.49,0.076,lifestyle,60,57.3
@entertainment_quiet_0110,Daily Laughs,4279,944,2,0,0,0.01,False,0.3,22.07,0.0,entertainment,26.0,26.0
@news_neon_0111,Neon Digest,10222,1600,28,9,5,1.72,True,3.0,15.66,0.088,news,70,66.3
@tech_bright_0112,Urban Dev,448,125,6,2,1,1.34,True,7.48,28.1,0.077,tech,67,63.9
@anime_neon_0113,Open Sakura,1034,344,5,0,1,0.85,False,2.55,33.33,0.034,anime,55,53.9
@health_quiet_0114,Global Care,41494,5257,27,9,9,3.26,True,0.79,12.67,0.183,health,55,49.0
@business_alpha_0115,Urban Ventures,23069,8380,369,83,73,0.2,True,6.07,36.33,0.133,business,80,73.6
@crypto_daily_0116,Nova Crypto,6096,2087,23,0,4,0.18,False,1.78,34.24,0.034,crypto,42,41.1
@news_alpha_0117,Daily Wire,14058,5654,163,55,53,0.38,True,4.02,40.22,0.039,news,75,73.2
@health_vivid_0118,Prime Fit,623,255,3,0,1,2.17,False,2.08,40.99,0.171,health,57,51.1
@tech_open_0119,Urban Dev,1617,82,0,0,0,0.53,True,1.52,5.12,0.525,tech,32.56,22.3
@tech_vivid_0120,Global AI,41789,12280,212,0,30,2.98,False,2.47,29.39,0.028,tech,60,59.0
@music_bright_0121,Peak Tracks,1332,400,2,0,1,2.33,False,1.2,30.07,0.035,music,55,53.8
@business_neon_0122,Prime Money,3245,1463,32,0,9,4.04,False,3.3,45.09,0.013,business,55,54.6
@lifestyle_insider_0123,Vivid Living,3948,915,18,0,4,1.23,False,3.34,23.19,0.045,lifestyle,55,53.5
@gaming_vivid_0124,Daily Quest,2525,211,4,1,1,0.51,True,3.65,8.39,0.424,gaming,49.2,36.7
@tech_alpha_0125,Insider Tech,6480,2245,57,0,10,2.24,False,3.48,34.65,0.007,tech,62,61.7
@news_nova_0126,Core Digest,62080,12917,514,0,172,1.13,False,5.97,20.81,0.0,news,67,67.0
@health_open_0127,Quiet Health,82926,18924,40,0,12,1.54,False,0.34,22.82,0.076,health,48.8,46.6
@gacha_nova_0128,Nova GLMV,100,46,0,0,0,2.34,True,1.82,46.94,0.0,gacha,52,52.0
@lifestyle_global_0129,Open Travel,39137,4138,87,23,18,2.17,True,2.82,10.57,0.355,lifestyle,75,59.0
@crypto_neon_0130,Prime Chain,3742,1436,20,3,5,1.49,True,2.47,38.4,0.016,crypto,70,69.3
@crypto_smart_0131,Prime Chain,1968,1000,52,0,19,0.24,False,7.78,50.82,0.054,crypto,60,58.1
@business_smart_0132,Bright Money,2157,402,9,2,2,0.2,True,4.37,18.67,0.0,business,50,50.0
@crypto_neon_0133,Nova Chain,2283,946,26,4,8,1.52,True,3.99,41.44,0.06,crypto,70,67.5
@politics_global_0134,Core Forum,12813,3248,85,0,17,0.2,False,3.84,25.35,0.014,politics,50,49.6
@education_quiet_0135,Peak Lessons,3092,1071,18,2,6,0.2,True,2.57,34.64,0.0,education,60,60.0
@sports_core_0136,Open Sports,2659,152,0,0,0,0.2,False,0.94,5.72,0.697,sports,22.86,13.3
@politics_insider_0137,Alpha Politics,8787,1281,10,0,2,1.69,False,1.42,14.59,0.0,politics,47,47.0
@music_vivid_0138,Global Sound,7952,2717,75,23,23,2.92,True,4.4,34.17,0.0,music,82,82.0
@education_urban_0139,Prime Learn,190,60,1,0,0,0.46,True,4.28,31.78,0.048,education,47,45.6
@gaming_alpha_0140,Neon Quest,2799,1107,32,8,5,26.0,True,4.65,39.56,0.04,gaming,60,58.5
@music_nova_0141,Quiet Tracks,11245,2382,0,0,0,1.22,True,0.05,21.19,0.097,music,41.0,38.6
@crypto_daily_0142,Alpha DeFi,13435,3137,82,24,25,0.02,True,4.33,23.36,0.004,crypto,65,64.9
@politics_vivid_0143,Quiet Politics,1181,527,19,5,2,0.2,True,4.88,44.64,0.091,politics,60,56.7
@news_neon_0144,Alpha Digest,2614,828,35,7,9,1.56,True,6.51,31.68,0.069,news,80,76.7
@crypto_insider_0145,Peak Coins,17684,951,5,0,1,2.15,False,0.97,5.38,0.561,crypto,37.69,25.0
@business_peak_0146,Insider Market,11116,3190,47,0,9,2.97,False,2.1,28.7,0.039,business,60,58.6
@gacha_open_0147,Bright OC,11906,4066,145,0,27,1.65,False,5.0,34.15,0.036,gacha,70,68.5
@lifestyle_quiet_0148,Prime Travel,1762,342,11,0,4,1.29,False,5.16,19.43,0.13,lifestyle,55,50.7
@education_prime_0149,Daily Academy,20686,4913,100,0,27,3.16,False,3.5,23.75,0.097,education,55,51.8
@tech_quiet_0150,Smart AI,1073,309,7,2,3,2.17,True,4.32,28.8,0.08,tech,65,61.9
@news_insider_0151,Quiet News,1890,667,6,0,1,1.96,False,1.25,35.32,0.055,news,55,53.2
@tech_urban_0152,Core Tech,956,333,9,0,2,2.45,False,5.1,34.92,0.019,tech,62,61.3
@sports_global_0153,Quiet Sports,2513,238,2,0,0,0.2,True,1.53,9.5,0.657,sports,29.75,18.0
@entertainment_prime_0154,Daily Vibes,4552,1575,40,0,7,4.59,False,3.83,34.62,0.101,entertainment,55,51.7
@entertainment_prime_0155,Core Fun,799,266,4,1,1,1.93,True,3.23,33.32,0.0,entertainment,67,67.0
@news_daily_0156,Neon Wire,7999,1872,29,0,5,1.35,False,2.55,23.41,0.077,news,57,54.4
@music_vivid_0157,Vivid Beats,907,384,5,0,1,0.93,False,2.19,42.41,0.075,music,52,49.7
@health_nova_0158,Vivid Health,4967,1475,38,0,12,3.44,False,3.61,29.71,0.015,health,50,49.6
@entertainment_vivid_0159,Daily Memes,7562,1231,29,0,9,3.08,False,3.88,16.28,0.115,entertainment,47,43.8
@tech_urban_0160,Open Code,2296,844,13,4,5,2.0,True,2.97,36.79,0.055,tech,70,67.7
@lifestyle_urban_0161,Urban Home,23359,5390,98,0,33,1.51,False,2.94,23.08,0.05,lifestyle,60,58.2
@entertainment_prime_0162,Prime Vibes,215,87,2,0,0,1.54,True,4.41,40.55,0.0,entertainment,57,57.0
@business_alpha_0163,Peak Ventures,6186,865,31,7,6,1.9,True,5.86,13.99,0.035,business,72,70.5
@business_open_0164,Open Capital,5838,1506,46,15,19,4.18,True,5.09,25.81,0.069,business,77,73.8
@crypto_global_0165,Alpha Crypto,14052,3036,79,14,26,2.24,True,3.53,21.61,0.064,crypto,80,76.9
@education_vivid_0166,Alpha Learn,2760,918,5,0,1,0.34,True,0.87,33.28,0.0,education,40,40.0
@tech_global_0167,Prime AI,7615,981,24,5,5,0.2,True,3.94,12.89,0.065,tech,52,50.0
@music_daily_0168,Nova Tracks,1184,507,13,0,2,0.27,False,3.72,42.88,0.125,music,50,46.2
@news_open_0169,Vivid Report,7073,2199,83,0,12,2.38,False,5.2,31.09,0.004,news,67,66.8
@tech_vivid_0170,Global Dev,1295,404,5,0,1,2.49,False,2.29,31.24,0.145,tech,60,54.8
@gaming_core_0171,Vivid Quest,4404,1519,50,0,9,40.0,False,5.43,34.5,0.018,gaming,50,49.5
@news_bright_0172,Neon Digest,24199,1849,10,0,3,0.77,False,0.89,7.64,0.026,news,33.82,33.3
@politics_daily_0173,Peak Policy,12495,2811,74,14,11,1.73,True,3.92,22.5,0.0,politics,80,80.0
@tech_peak_0174,Insider Code,26030,6111,126,26,38,0.2,True,2.79,23.48,0.057,tech,70,67.6
@business_quiet_0175,Insider Capital,13122,1607,12,5,3,0.2,True,1.33,12.25,0.077,business,50,47.7
@anime_global_0176,Vivid Manga,15435,4836,90,0,25,0.16,False,2.94,31.34,0.039,anime,50,48.8
@education_open_0177,Daily Course,1675,398,18,0,3,0.05,False,6.68,23.8,0.037,education,45,44.0
@health_core_0178,Insider Wellness,1346,545,34,8,6,2.74,True,8.72,40.52,0.024,health,80,78.9
@crypto_core_0179,Neon Coins,8961,2982,55,0,10,0.68,False,2.57,33.28,0.06,crypto,57,54.9
@lifestyle_bright_0180,Core Travel,633,270,14,0,2,2.12,False,7.49,42.78,0.1,lifestyle,62,58.3
@crypto_peak_0181,Open Coins,4190,908,20,6,3,2.87,True,3.24,21.69,0.008,crypto,70,69.7
@lifestyle_urban_0182,Core Style,649,137,1,0,0,3.0,False,1.93,21.19,0.098,lifestyle,47,44.2
@business_alpha_0183,Bright Market,6086,253,3,0,1,1.97,False,2.14,4.17,0.465,business,44.08,31.8
@tech_daily_0184,Alpha Code,11562,3707,41,0,8,0.31,False,1.54,32.07,0.085,tech,50,47.4
@lifestyle_urban_0185,Alpha Travel,19498,3334,35,7,9,1.22,True,1.59,17.1,0.054,lifestyle,65,62.9
@entertainment_neon_0186,Peak Laughs,244,20,0,0,0,0.36,True,2.74,8.39,0.497,entertainment,31.19,21.9
@gaming_insider_0187,Open Quest,3246,1195,40,14,16,2.91,True,5.58,36.84,0.065,gaming,85,81.7
@entertainment_smart_0188,Vivid Fun,32578,7387,257,0,71,3.07,False,5.02,22.68,0.135,entertainment,60,55.1
@news_smart_0189,Open News,27121,11340,270,53,106,0.47,True,3.83,41.82,0.053,news,75,72.6
@entertainment_vivid_0190,Insider Laughs,6677,1438,43,0,9,1.26,False,4.26,21.54,0.041,entertainment,57,55.6
@news_global_0191,Open Wire,431,26,0,0,0,0.77,False,4.21,6.04,0.3,news,35.02,28.7
@crypto_urban_0192,Open Crypto,1891,814,34,0,7,0.31,False,6.74,43.08,0.058,crypto,55,53.1
@lifestyle_open_0193,Peak Living,3986,1740,0,0,0,2.35,False,0.06,43.67,0.0,lifestyle,41.2,41.2
@news_bright_0194,Vivid News,1344,375,12,3,2,1.89,True,5.01,27.92,0.018,news,70,69.3
@crypto_core_0195,Daily Crypto,5103,1622,44,0,13,2.06,False,3.91,31.8,0.12,crypto,62,57.6
@entertainment_urban_0196,Bright Memes,1540,653,10,4,3,2.92,True,2.92,42.43,0.066,entertainment,70,67.2
@crypto_open_0197,Daily DeFi,1485,345,7,0,1,1.38,False,3.78,23.3,0.0,crypto,55,55.0
@gaming_neon_0198,Prime Esports,9459,1912,24,4,4,0.42,True,2.12,20.22,0.068,gaming,57,54.7
@business_open_0199,Open Money,21927,3131,75,14,21,0.2,True,3.87,14.28,0.132,business,65,59.9
@lifestyle_insider_0200,Daily Travel,12197,4421,44,8,10,3.19,True,1.73,36.25,0.0,lifestyle,70,70.0
@crypto_daily_0201,Global DeFi,23470,5127,58,0,16,2.21,False,1.74,21.85,0.059,crypto,55,53.1
@crypto_neon_0202,Open Chain,4325,1041,32,0,5,0.2,False,4.93,24.08,0.021,crypto,45,44.4
@entertainment_insider_0203,Daily Vibes,71099,15473,387,0,95,10.9,False,3.77,21.76,0.082,entertainment,47,44.7
@news_smart_0204,Daily Wire,1446,410,12,2,4,1.74,True,4.06,28.39,0.07,news,65,62.3
@business_smart_0205,Open Money,746,309,8,2,1,1.44,True,3.63,41.52,0.019,business,67,66.3
@anime_urban_0206,Vivid Manga,4094,1352,5,0,1,1.44,False,0.61,33.05,0.071,anime,50,47.9
@news_insider_0207,Peak Report,455,197,3,0,1,2.58,True,2.37,43.38,0.086,news,57,54.1
@entertainment_alpha_0208,Daily Fun,1669,581,11,2,2,2.67,True,2.86,34.87,0.073,entertainment,70,66.9
@music_global_0209,Smart Beats,7220,3067,111,37,32,2.92,True,5.81,42.49,0.05,music,87,84.4
@politics_daily_0210,Urban Forum,3980,790,8,0,2,0.88,False,1.47,19.87,0.014,politics,40,39.7
@gacha_vivid_0211,Vivid GLMV,6515,2340,39,6,13,2.32,True,2.47,35.92,0.041,gacha,77,75.1
@news_neon_0212,Alpha Report,120714,19630,653,279,195,0.71,True,5.78,16.26,0.124,news,80,74.0
@education_vivid_0213,Urban Learn,2480,785,29,0,8,0.92,False,6.34,31.66,0.022,education,60,59.2
@tech_peak_0214,Alpha Code,552,194,7,0,1,0.25,False,5.36,35.15,0.045,tech,52,50.6
@gacha_prime_0215,Open GLMV,8496,2259,29,0,7,3.47,False,2.08,26.6,0.066,gacha,52,49.9
@business_peak_0216,Vivid Ventures,7774,1285,3,0,1,2.66,False,0.46,16.54,0.481,business,41.2,29.3
@gaming_alpha_0217,Insider Arena,3847,1499,14,3,4,0.04,True,1.5,38.97,0.058,gaming,50,48.2
@entertainment_global_0218,Global Memes,1324,382,7,1,1,2.17,True,2.56,28.88,0.07,entertainment,65,62.3
@crypto_urban_0219,Peak Coins,955,371,0,0,0,2.84,True,0.06,38.87,0.03,crypto,38.2,37.5
@news_alpha_0220,Vivid News,631,279,11,0,3,2.23,False,6.18,44.25,0.025,news,62,61.1
@sports_urban_0221,Global Sports,28903,3851,122,0,35,1.91,False,4.26,13.32,0.032,sports,55,53.9
@politics_bright_0222,Peak Forum,1764,468,4,0,1,1.65,False,1.59,26.55,0.061,politics,50,48.2
@health_daily_0223,Urban Wellness,38919,13464,20,0,5,1.58,False,0.23,34.6,0.064,health,49.6,47.7
@sports_daily_0224,Urban Match,42870,4408,139,39,27,1.12,True,4.29,10.28,0.029,sports,75,73.7
@crypto_insider_0225,Core Crypto,14760,4501,51,0,12,1.16,False,1.78,30.5,0.061,crypto,60,57.8
@gaming_vivid_0226,Global Games,1138,367,8,0,3,0.54,False,3.91,32.33,0.086,gaming,55,52.2
@lifestyle_vivid_0227,Alpha Living,2714,858,13,3,4,0.18,True,2.21,31.62,0.042,lifestyle,55,53.6
@tech_daily_0228,Open Tech,10853,2437,72,15,10,2.01,True,4.1,22.46,0.093,tech,80,75.5
@gaming_nova_0229,Bright Games,8278,2418,20,0,4,1.4,False,1.47,29.21,0.062,gaming,52,50.1
@tech_bright_0230,Prime AI,6697,591,10,0,3,2.14,False,2.89,8.83,0.502,tech,46.41,32.4
@lifestyle_nova_0231,Smart Travel,1524,652,11,4,2,1.17,True,2.51,42.8,0.023,lifestyle,70,69.1
@entertainment_smart_0232,Daily Vibes,5524,870,7,0,1,1.41,False,1.29,15.76,0.033,entertainment,47,46.1
@business_neon_0233,Alpha Ventures,2791,859,15,3,5,0.79,True,2.76,30.78,0.075,business,65,62.1
@business_neon_0234,Core Capital,3217,1288,14,0,3,2.89,False,1.7,40.06,0.072,business,55,52.6
@sports_nova_0235,Open League,64174,9921,256,0,84,3.67,False,3.76,15.46,0.03,sports,52,51.1
@entertainment_neon_0236,Daily Laughs,22086,9622,254,74,62,2.58,True,4.36,43.57,0.084,entertainment,85,80.7
@news_nova_0237,Global Digest,2006,638,25,0,6,1.81,False,6.82,31.81,0.0,news,65,65.0
@politics_nova_0238,Peak Politics,2314,890,13,0,4,1.08,False,2.28,38.5,0.058,politics,60,57.9
@tech_vivid_0239,Core Code,100,36,1,0,0,1.51,False,7.11,36.39,0.044,tech,62,60.3
@anime_global_0240,Prime Manga,1649,436,6,2,2,0.4,True,2.4,26.5,0.045,anime,55,53.5
@tech_prime_0241,Global Code,544979,160241,1959,308,643,0.92,True,1.91,29.4,0.084,tech,75,71.2
@politics_open_0242,Insider Debate,3033,834,10,0,3,3.78,False,2.06,27.52,0.0,politics,50,50.0
@business_quiet_0243,Open Capital,5149,461,5,0,1,3.36,False,2.26,8.97,0.38,business,41.48,32.0
@lifestyle_vivid_0244,Quiet Living,15166,2081,12,2,4,0.2,True,0.97,13.72,0.082,lifestyle,45,42.8
@gacha_prime_0245,Neon OC,8634,1980,39,0,15,1.98,False,3.29,22.94,0.056,gacha,57,55.1
@gacha_daily_0246,Quiet Gacha,1472,553,20,0,8,1.84,False,6.34,37.6,0.06,gacha,65,62.7
